Distance,E,N,Elev
0.0,515801.07355754194,-1340433.023896661,2054.408203125
500.00000000009265,515753.2823881637,-1340930.7346601868,2052.515625
1000.0000000000259,515665.7188500794,-1341423.0075792044,2049.2265625
1499.9999999999889,515595.7143536676,-1341918.082695204,2046.21484375
1999.9999999999081,515534.559087999,-1342414.3286357224,2043.1953125
2499.999999999975,515450.31605749077,-1342907.180653889,2040.3203125
2999.9999999999345,515351.63020367234,-1343397.3450163798,2038.21484375
3500.0000000000755,515262.0778818323,-1343889.2600310452,2035.173828125
4000.0000000000277,515174.9332881234,-1344381.6072863308,2032.025390625
4499.999999999977,515105.9618229524,-1344876.827375778,2028.89453125
5000.000000000078,515076.30050195963,-1345375.9468064127,2025.654296875
5500.0000000000355,515075.7489300989,-1345875.946502181,2022.76171875
6000.000000000078,515082.52963911754,-1346375.900522052,2019.0390625
6499.999999999881,515101.507437409,-1346875.5402354174,2014.845703125
7000.000000000017,515143.30672531296,-1347373.7899915949,2010.423828125
7499.999999999897,515184.5307319512,-1347872.0876749896,2007.302734375
8000.000000000044,515207.00625594595,-1348371.582270377,2005.37890625
8499.999999999882,515295.112385424,-1348863.758366859,2004.166015625
9000.000000000004,515421.81686812174,-1349347.4379860952,2002.28125
9499.999999999996,515531.8745998294,-1349835.1748984684,1999.6796875
10000.000000000056,515600.73934634065,-1350330.4098393682,1996.625
10499.999999999996,515604.02302701835,-1350830.399056693,1993.99609375
11000.0,515522.3370824373,-1351323.6813353712,1991.54296875
11499.9999999999,515358.1776429605,-1351795.9648079071,1989.6796875
11999.999999999915,515137.5387579715,-1352244.6500900714,1987.640625
12499.999999999889,514709.68787737744,-1352503.3847494714,1986.75390625
12999.999999999933,514237.6377691684,-1352668.214040982,1985.306640625
13499.999999999856,513785.02511368674,-1352880.6800008386,1980.208984375
13999.999999999913,513332.2460375385,-1353092.7910759912,1974.896484375
14499.99999999988,512841.36640830286,-1353187.8552101399,1973.24609375
14999.999999999867,512391.26855887024,-1352970.1124124723,1969.435546875
15499.999999999955,512149.4407336845,-1353407.7415967893,1967.3671875
15999.99999999987,512101.6107947729,-1352910.0345575146,1969.279296875
16499.999999999738,511859.36426416086,-1353347.4321094125,1966.861328125
16999.999999999753,511990.9866859689,-1352865.0675812003,1969.40625
17499.999999999865,511746.95976301405,-1353301.4743420018,1965.966796875
17999.999999999953,511921.94777932897,-1352833.095014804,1969.40625
18500.000000000044,511680.61642884166,-1353270.998176784,1966.48046875
19000.000000000025,511870.10194340424,-1352808.2939086268,1969.6875
19500.00000000004,511631.332706108,-1353247.5993278068,1966.48046875
20000.000000000047,511828.58668760123,-1352788.1530667653,1969.25
20500.00000000001,511591.9909559415,-1353228.6328730679,1965.6328125
21000.00000000004,511783.4810692265,-1352766.7546028341,1969.587890625
21499.99999999995,511548.6641704017,-1353208.1852587997,1965.6328125
21999.999999999778,511693.5754965871,-1352729.6450749666,1969.943359375
22499.999999999764,511462.4458248362,-1353173.0174634126,1966.537109375
22999.999999999778,511258.82049095904,-1353629.6756763065,1954.248046875
23499.99999999963,511076.5560905776,-1354095.2717333704,1948.126953125
23999.999999999796,510838.0863318686,-1354534.7397915742,1946.05859375
24499.99999999971,510450.0,-1354850.0,1939.935546875
24999.99999999962,510061.9136681314,-1355165.2602084258,1902.123046875
25499.999999999705,509605.76427718543,-1355370.0228347513,1878.79296875
25999.999999999705,509123.7137802647,-1355502.790746607,1867.978515625
26499.999999999705,509375.0519507512,-1355070.5533997053,1873.21875
26999.999999999603,508956.168671644,-1355343.56768227,1865.96875
27499.999999999556,509337.6566908761,-1355020.354298911,1873.21875
27999.999999999534,508929.71873103856,-1355309.4678076296,1865.96875
28499.999999999454,509330.13349489326,-1355010.0216240054,1873.21875
28999.99999999939,508924.6943641824,-1355302.6290594686,1865.96875
29499.99999999938,509328.69145380106,-1355008.0338260047,1873.21875
29999.999999999425,508923.73918534897,-1355301.3146816287,1865.96875
30499.999999999472,509328.4167722007,-1355007.654928343,1873.21875
30999.999999999483,508923.5575225158,-1355301.064178273,1865.96875
31499.9999999995,509328.3645013486,-1355007.582816193,1873.21875
31999.99999999963,508923.52296289994,-1355301.0165033299,1865.96875
32499.99999999969,509328.3545561635,-1355007.569095613,1873.21875
32999.99999999967,508923.5163878658,-1355301.0074323881,1865.96875
33499.99999999967,509328.35266403033,-1355007.5664851752,1873.21875
33999.99999999969,508923.515136938,-1355301.0057065785,1865.96875
34499.99999999978,509328.35230404255,-1355007.5659885257,1873.21875
34999.99999999979,508923.51489894325,-1355301.0053782342,1865.96875
35499.999999999774,509328.35223555315,-1355007.5658940359,1873.21875
35999.99999999983,508923.5148536636,-1355301.0053157653,1865.96875
36499.999999999854,509328.3522225227,-1355007.5658760588,1873.21875
36999.99999999986,508923.51484504895,-1355301.0053038802,1865.96875
37499.999999999876,509328.3522200436,-1355007.5658726385,1873.21875
37999.99999999983,508923.51484341,-1355301.005301619,1865.96875
38499.99999999982,509328.35221957194,-1355007.5658719877,1873.21875
38999.9999999999,508923.5148430982,-1355301.005301189,1865.96875
39499.99999999986,509328.3522194822,-1355007.565871864,1873.21875
39999.999999999745,508923.51484303887,-1355301.005301107,1865.96875
40499.99999999976,509328.35221946513,-1355007.5658718403,1873.21875
40999.99999999977,508923.5148430276,-1355301.0053010914,1865.96875
41499.99999999973,509328.35221946187,-1355007.565871836,1873.21875
41999.999999999796,508923.5148430254,-1355301.0053010886,1865.96875
42499.999999999796,509328.3522194613,-1355007.5658718352,1873.21875
42999.999999999716,508923.514843025,-1355301.0053010879,1865.96875
43499.99999999968,509328.3522194612,-1355007.565871835,1873.21875
43999.99999999974,508923.5148430249,-1355301.0053010879,1865.96875
44499.99999999975,509328.3522194611,-1355007.565871835,1873.21875
44999.99999999977,508923.5148430249,-1355301.0053010879,1865.96875
45499.99999999978,509328.3522194611,-1355007.565871835,1873.21875
45999.999999999796,508923.5148430249,-1355301.0053010879,1865.96875
46499.99999999981,509328.3522194611,-1355007.565871835,1873.21875
46999.999999999825,508923.5148430249,-1355301.0053010879,1865.96875
47499.99999999984,509328.3522194611,-1355007.565871835,1873.21875
47999.999999999854,508923.5148430249,-1355301.0053010879,1865.96875
48499.99999999987,509328.3522194611,-1355007.565871835,1873.21875
48999.99999999988,508923.5148430249,-1355301.0053010879,1865.96875
