Distance,E,N,Elev
0,508000,-1354000,1844.750185
125,508000,-1354125,1842.796155
250,508000,-1354250,1840.842285
375,508000,-1354375,1839.234368
500,508000,-1354500,1837.658568
641.4213562,508100,-1354600,1832.109035
782.8427125,508200,-1354700,1824.045597
924.2640687,508300,-1354800,1816.466904
1065.685425,508400,-1354900,1808.034467
1207.106781,508500,-1355000,1799.581029
1332.106781,508625,-1355000,1783.832331
1457.106781,508750,-1355000,1772.481688
1582.106781,508875,-1355000,1759.583067
1707.106781,509000,-1355000,1746.68458
1811.990919,509104.404,-1354989.976,1751.871526
1916.875057,509208.808,-1354979.952,1756.264717
2021.759194,509313.2121,-1354969.928,1756.509386
2126.643332,509417.6161,-1354959.903,1751.020803
2231.52747,509522.0201,-1354949.879,1758.728678
2336.411607,509626.4241,-1354939.855,1757.931627
2441.295745,509730.8281,-1354929.831,1783.124887
2546.179883,509835.2321,-1354919.807,1804.638133
2651.06402,509939.6362,-1354909.783,1820.368045
2755.948158,510044.0402,-1354899.758,1840.117188
2860.832296,510148.4442,-1354889.734,1851.768095
2965.716434,510252.8482,-1354879.71,1839.314419
3070.600571,510357.2522,-1354869.686,1836.635186
3155.929797,510423.7622,-1354816.23,1821.546225
3298.46655,510536.7405,-1354729.325,1751.815821
3441.003303,510649.7188,-1354642.419,1670.89833
3583.540057,510762.6971,-1354555.513,1649.447385
3726.07681,510875.6754,-1354468.607,1615.463422
3864.745332,510964.8772,-1354362.437,1605.987936
4003.413855,511054.0791,-1354256.268,1596.374514
4142.082377,511143.281,-1354150.098,1585.847248
4280.750899,511232.4828,-1354043.928,1574.645039
4419.419422,511321.6847,-1353937.759,1563.131671
4558.087944,511410.8866,-1353831.589,1551.627889
4696.756466,511500.0884,-1353725.42,1550.765326
4837.56945,511597.3702,-1353623.613,1540.228581
4978.382434,511694.6519,-1353521.807,1529.649504
5119.195418,511791.9337,-1353420,1519.31629
5260.008402,511889.2154,-1353318.194,1509.07527
5400.821385,511986.4972,-1353216.387,1498.651028
5541.634369,512083.7789,-1353114.581,1487.346951
5682.447353,512181.0606,-1353012.774,1475.423022
5823.260337,512278.3424,-1352910.968,1462.74022
5964.073321,512375.6241,-1352809.161,1449.412164
6091.8031,512475.9762,-1352730.14,1435.506227
6219.532879,512576.3283,-1352651.119,1419.887893
6347.262658,512676.6804,-1352572.098,1403.84668
6474.992437,512777.0325,-1352493.076,1388.011724
6602.722216,512877.3846,-1352414.055,1376.591099
6730.451995,512977.7367,-1352335.034,1360.769142
6858.181774,513078.0888,-1352256.013,1344.602808
6973.412634,513105.2372,-1352144.026,1340.150926
7088.643495,513132.3856,-1352032.039,1323.804276
7203.874356,513159.534,-1351920.051,1319.288279
7319.105216,513186.6824,-1351808.064,1314.772144
7434.336077,513213.8308,-1351696.077,1296.315044
7548.288156,513216.2548,-1351582.151,1293.703004
7662.240235,513218.6787,-1351468.225,1291.091076
7776.192314,513221.1027,-1351354.298,1288.47903
7890.144393,513223.5266,-1351240.372,1285.869125
8004.096472,513225.9506,-1351126.446,1283.341752
8118.048551,513228.3746,-1351012.519,1280.814196
8232.00063,513230.7985,-1350898.593,1275.759281
8334.582194,513228.7247,-1350796.033,1273.229534
8437.163757,513226.6509,-1350693.472,1270.529988
8539.745321,513224.577,-1350590.911,1267.830709
8642.326884,513222.5032,-1350488.351,1265.131558
8744.908448,513220.4294,-1350385.79,1262.432286
8847.490011,513218.3555,-1350283.23,1259.727047
8950.071575,513216.2817,-1350180.669,1254.894112
9052.653138,513214.2078,-1350078.108,1250.065836
9155.234702,513212.134,-1349975.548,1245.237553
9257.816265,513210.0602,-1349872.987,1240.40939
9360.397829,513207.9863,-1349770.427,1235.575345
9462.979392,513205.9125,-1349667.866,1233.377343
9565.560956,513203.8387,-1349565.305,1245.003997
9668.142519,513201.7648,-1349462.745,1242.818701
9770.724083,513199.691,-1349360.184,1240.633386
9873.305646,513197.6172,-1349257.624,1238.448119
9975.88721,513195.5433,-1349155.063,1236.163539
10078.46877,513193.4695,-1349052.502,1233.877516
10180.82932,513177.7425,-1348951.357,1231.59161
10283.18986,513162.0155,-1348850.212,1229.30558
10385.5504,513146.2885,-1348749.067,1227.019351
10487.91095,513130.5615,-1348647.922,1224.965898
10590.27149,513114.8345,-1348546.777,1222.918096
10692.63203,513099.1075,-1348445.631,1235.136184
10794.99258,513083.3805,-1348344.486,1233.046846
10897.35312,513067.6535,-1348243.341,1230.957131
10999.71366,513051.9265,-1348142.196,1229.655168
11102.07421,513036.1995,-1348041.051,1228.381518
11204.43475,513020.4725,-1347939.906,1227.107874
11306.79529,513004.7455,-1347838.761,1239.831607
11409.15584,512989.0185,-1347737.615,1238.511794
11511.51638,512973.2915,-1347636.47,1238.151474
11613.87692,512957.5645,-1347535.325,1237.836313
11716.23747,512941.8375,-1347434.18,1237.521146
11818.59801,512926.1104,-1347333.035,1237.205985
11920.95855,512910.3834,-1347231.89,1236.890952
12023.31909,512894.6564,-1347130.744,1251.061728
12126.67698,512874.6786,-1347029.336,1251.361064
12230.03487,512854.7007,-1346927.927,1251.660406
12333.39276,512834.7228,-1346826.518,1251.959741
12436.75065,512814.745,-1346725.109,1252.259084
12540.10854,512794.7671,-1346623.701,1266.383455
12643.46643,512774.7892,-1346522.292,1266.655421
12746.82432,512754.8114,-1346420.883,1266.92738
12850.18221,512734.8335,-1346319.474,1267.199343
12953.5401,512714.8556,-1346218.066,1267.471302
13056.89799,512694.8778,-1346116.657,1281.579261
13160.25588,512674.8999,-1346015.248,1281.561002
13263.61377,512654.922,-1345913.839,1281.542627
13366.97165,512634.9442,-1345812.43,1281.524375
13470.32954,512614.9663,-1345711.022,1281.50599
13573.68743,512594.9884,-1345609.613,1295.360338
13677.04532,512575.0106,-1345508.204,1295.284419
13780.40321,512555.0327,-1345406.795,1295.208626
13883.7611,512535.0548,-1345305.387,1295.1327
13987.11899,512515.077,-1345203.978,1295.056773
14090.47688,512495.0991,-1345102.569,1308.388749
14193.83477,512475.1212,-1345001.16,1309.085434
14297.19266,512455.1433,-1344899.752,1310.478661
14400.55055,512435.1655,-1344798.343,1311.175347
14503.90844,512415.1876,-1344696.934,1313.411557
14607.26633,512395.2097,-1344595.525,1327.20712
14710.62421,512375.2319,-1344494.117,1329.520802
