Distance,E,N,Elev
13269.91777,512654.922,-1345913.839,1281.542627
13373.27566,512634.9442,-1345812.43,1281.524375
13476.63355,512614.9663,-1345711.022,1281.50599
13579.99144,512594.9884,-1345609.613,1295.360338
13683.34933,512575.0106,-1345508.204,1295.284419
13786.70722,512555.0327,-1345406.795,1295.208626
13890.06511,512535.0548,-1345305.387,1295.1327
13993.423,512515.077,-1345203.978,1295.056773
14096.78088,512495.0991,-1345102.569,1308.388749
14200.13877,512475.1212,-1345001.16,1309.085434
14303.49666,512455.1433,-1344899.752,1310.478661
14406.85455,512435.1655,-1344798.343,1311.175347
14510.21244,512415.1876,-1344696.934,1313.411557
14613.57033,512395.2097,-1344595.525,1327.20712
14716.92822,512375.2319,-1344494.117,1329.520802
14820.28611,512355.254,-1344392.708,1331.834616
14923.644,512335.2761,-1344291.299,1334.148307
15027.00189,512315.2983,-1344189.89,1337.570904
15130.35978,512295.3204,-1344088.481,1352.203104
15233.71767,512275.3425,-1343987.073,1355.774273
15337.07556,512255.3647,-1343885.664,1359.345312
15440.43344,512235.3868,-1343784.255,1362.916491
15543.79133,512215.4089,-1343682.846,1366.723738
15647.14922,512195.4311,-1343581.438,1380.989
15750.50711,512175.4532,-1343480.029,1384.602678
15853.865,512155.4753,-1343378.62,1388.216364
15957.22289,512135.4975,-1343277.211,1391.83005
16060.58078,512115.5196,-1343175.803,1396.427401
16163.93867,512095.5417,-1343074.394,1410.297104
16267.29656,512075.5639,-1342972.985,1414.866854
16370.65445,512055.586,-1342871.576,1419.436466
16474.01234,512035.6081,-1342770.167,1424.006075
16577.37023,512015.6303,-1342668.759,1429.701638
16680.72812,511995.6524,-1342567.35,1443.992025
16784.086,511975.6745,-1342465.941,1449.800765
16887.44389,511955.6967,-1342364.532,1455.609505
16990.80178,511935.7188,-1342263.124,1461.418089
17094.15967,511915.7409,-1342161.715,1467.379847
17197.51756,511895.763,-1342060.306,1481.482051
17300.87545,511875.7852,-1341958.897,1487.447362
17404.23334,511855.8073,-1341857.489,1493.412525
17507.59123,511835.8294,-1341756.08,1499.377697
17610.94912,511815.8516,-1341654.671,1503.838096
17714.30701,511795.8737,-1341553.262,1515.807495
17817.6649,511775.8958,-1341451.853,1519.846221
17921.02279,511755.918,-1341350.445,1523.884948
