Distance,E,N,Elev
0,507916.5005,-1352282.313,1799.215228
151.5577863,508067.9631,-1352287.682,1783.081702
302.9573808,508219.1626,-1352295.463,1779.629878
408.3018411,508324.3627,-1352289.948,1762.836621
513.6463014,508429.5627,-1352284.434,1727.568655
618.9907617,508534.7627,-1352278.919,1711.0789
724.335222,508639.9627,-1352273.405,1690.819721
862.0611162,508732.7197,-1352171.598,1673.758606
999.7870103,508825.4768,-1352069.792,1671.687374
1137.512904,508918.2338,-1351967.985,1671.774294
1243.343077,508899.4007,-1351863.844,1706.768744
1349.173249,508880.5676,-1351759.703,1721.39529
1455.003421,508861.7346,-1351655.562,1732.080195
1560.833594,508842.9015,-1351551.421,1757.480924
1666.663766,508824.0684,-1351447.281,1787.623328
1772.493938,508805.2354,-1351343.14,1849.49868
1878.324111,508786.4023,-1351238.999,1900.295899
2012.890225,508681.3821,-1351154.863,1941.383324
2147.456339,508576.3618,-1351070.728,1949.549135
2282.022453,508471.3416,-1350986.592,1991.249216
2416.588567,508366.3214,-1350902.456,1926.218018
2551.154681,508261.3011,-1350818.321,1934.463617
2685.720795,508156.2809,-1350734.185,1939.667323
2820.286909,508051.2606,-1350650.05,1959.524774
2954.853023,507946.2404,-1350565.914,1972.136916
3089.419137,507841.2202,-1350481.779,1977.520329
3223.985251,507736.1999,-1350397.643,1975.674635
3358.551365,507631.1797,-1350313.508,1983.232648
3493.117479,507526.1594,-1350229.372,1973.1396
3627.683593,507421.1392,-1350145.237,1974.161557
3762.249707,507316.119,-1350061.101,1975.572045
3896.815821,507211.0987,-1349976.966,1977.381721
4031.381935,507106.0785,-1349892.83,1979.738142
4136.12338,507001.5572,-1349886.043,1995.540212
4240.864824,506897.0359,-1349879.256,2003.441713
4345.606268,506792.5145,-1349872.469,2011.343396
4450.347713,506687.9932,-1349865.682,2017.213212
4555.089157,506583.4719,-1349858.895,2016.435909
