Distance,E,N,Elev
0,512500,-1359500,1429.097958
101.5149426,512507.731,-1359398.78,1415.341448
203.0298853,512515.462,-1359297.56,1413.274442
304.5448279,512523.193,-1359196.34,1412.415464
406.0597705,512530.9241,-1359095.119,1411.556488
507.5747132,512538.6551,-1358993.899,1410.697377
609.0896558,512546.3861,-1358892.679,1409.838399
710.6045984,512554.1171,-1358791.459,1409.143986
812.1195411,512561.8481,-1358690.239,1409.224794
913.6344837,512569.5791,-1358589.019,1409.30574
1015.149426,512577.3101,-1358487.799,1409.386686
1116.664369,512585.0412,-1358386.579,1409.467644
1218.179312,512592.7722,-1358285.358,1409.692142
1319.694254,512600.5032,-1358184.138,1410.643359
1421.209197,512608.2342,-1358082.918,1403.08364
1522.724139,512615.9652,-1357981.698,1404.107652
1624.239082,512623.6962,-1357880.478,1405.131522
1725.754025,512631.4272,-1357779.258,1406.411958
1827.268967,512639.1583,-1357678.038,1409.09041
1928.78391,512646.8893,-1357576.818,1411.769011
2030.298853,512654.6203,-1357475.597,1414.447464
2180.49427,512760.691,-1357369.26,1413.414991
2330.689687,512866.7618,-1357262.922,1413.316454
2480.885105,512972.8326,-1357156.585,1413.319333
2631.080522,513078.9034,-1357050.248,1412.165715
2781.275939,513184.9741,-1356943.91,1409.855922
2931.471357,513291.0449,-1356837.573,1405.035993
3081.666774,513397.1157,-1356731.235,1398.183749
3231.862192,513503.1864,-1356624.898,1390.470722
3382.057609,513609.2572,-1356518.56,1375.167074
3532.253026,513715.328,-1356412.223,1367.208921
3682.448444,513821.3988,-1356305.885,1358.918837
3832.643861,513927.4695,-1356199.548,1347.870364
3982.839278,514033.5403,-1356093.21,1336.980381
4133.034696,514139.6111,-1355986.873,1326.455305
4283.230113,514245.6818,-1355880.536,1316.00802
4399.044025,514300.5442,-1355778.541,1313.767825
4514.857936,514355.4066,-1355676.545,1302.387122
4630.671848,514410.269,-1355574.55,1291.199754
4746.485759,514465.1314,-1355472.555,1288.159538
4862.29967,514519.9937,-1355370.56,1277.262174
4978.113582,514574.8561,-1355268.565,1274.287339
5093.927493,514629.7185,-1355166.57,1263.017839
5209.741405,514684.5809,-1355064.575,1259.543392
5325.555316,514739.4433,-1354962.58,1247.92777
5430.860687,514762.5811,-1354859.848,1244.316548
5536.166059,514785.7189,-1354757.116,1240.800245
5641.47143,514808.8568,-1354654.384,1230.326213
5746.776801,514831.9946,-1354551.652,1227.655602
5852.082172,514855.1324,-1354448.92,1224.985063
5957.387543,514878.2703,-1354346.189,1222.314454
6062.692914,514901.4081,-1354243.457,1219.778623
6167.998285,514924.5459,-1354140.725,1210.408142
6273.303656,514947.6838,-1354037.993,1209.141192
6378.609028,514970.8216,-1353935.261,1207.874309
6483.914399,514993.9594,-1353832.529,1206.607496
6585.04729,514994.9775,-1353731.401,1205.300276
6686.180181,514995.9956,-1353630.273,1203.494833
6787.313072,514997.0136,-1353529.145,1201.689464
6888.445963,514998.0317,-1353428.017,1199.884022
6989.578854,514999.0498,-1353326.89,1198.078713
7090.711745,515000.0678,-1353225.762,1196.171114
7191.844636,515001.0859,-1353124.634,1192.79303
7292.977527,515002.104,-1353023.506,1189.415094
7394.110418,515003.122,-1352922.379,1186.037078
7495.243309,515004.1401,-1352821.251,1182.659143
7598.212429,515001.5949,-1352718.313,1179.189271
7701.181548,514999.0498,-1352615.376,1174.142213
7804.150668,514996.5046,-1352512.438,1169.095164
7907.119788,514993.9594,-1352409.5,1164.048046
8010.088907,514991.4143,-1352306.563,1159.001062
8113.058027,514988.8691,-1352203.625,1153.92459
8216.027147,514986.324,-1352100.687,1148.224479
8318.996266,514983.7788,-1351997.75,1136.824118
8421.965386,514981.2336,-1351894.812,1131.123945
8524.934506,514978.6885,-1351791.874,1125.441064
8627.903625,514976.1433,-1351688.937,1120.23914
8730.872745,514973.5982,-1351585.999,1115.037134
8844.801526,514941.3594,-1351476.727,1109.835058
8958.730307,514909.1207,-1351367.454,1104.632978
9072.659088,514876.882,-1351258.182,1108.361223
9186.587869,514844.6433,-1351148.91,1104.209272
9300.51665,514812.4046,-1351039.638,1100.056211
9414.445431,514780.1658,-1350930.365,1104.656203
9528.374212,514747.9271,-1350821.093,1100.452849
9642.302993,514715.6884,-1350711.821,1096.266471
9756.231774,514683.4497,-1350602.548,1103.098157
9870.160555,514651.211,-1350493.276,1097.099194
9976.33289,514621.9742,-1350391.209,1094.09972
10082.50523,514592.7375,-1350289.141,1101.799512
10188.67756,514563.5008,-1350187.074,1097.263212
10294.8499,514534.2641,-1350085.006,1092.730222
10401.02223,514505.0273,-1349982.939,1098.66796
10507.19457,514475.7906,-1349880.871,1094.057421
10613.3669,514446.5539,-1349778.803,1089.441977
10719.53924,514417.3171,-1349676.736,1087.129503
10825.71158,514388.0804,-1349574.668,1095.110417
10931.88391,514358.8437,-1349472.601,1092.790149
11038.05625,514329.6069,-1349370.533,1090.469933
11144.22858,514300.3702,-1349268.466,1098.39441
11250.40092,514271.1335,-1349166.398,1095.648605
11353.26397,514256.4281,-1349064.592,1092.897131
11456.12702,514241.7227,-1348962.785,1090.145708
11558.99007,514227.0173,-1348860.979,1087.39433
11661.85311,514212.3119,-1348759.172,1084.642856
11764.71616,514197.6066,-1348657.366,1093.708072
11867.57921,514182.9012,-1348555.56,1091.147964
11970.44226,514168.1958,-1348453.753,1088.58791
12073.30531,514153.4904,-1348351.947,1086.027951
12176.16836,514138.785,-1348250.14,1083.467644
12280.70111,514132.6342,-1348145.788,1081.656831
12385.23387,514126.4834,-1348041.437,1079.872998
12489.76662,514120.3326,-1347937.085,1078.089075
12594.29938,514114.1818,-1347832.734,1076.305194
12698.83214,514108.031,-1347728.382,1074.521271
12803.36489,514101.8802,-1347624.03,1087.715599
12907.89765,514095.7294,-1347519.679,1087.323904
13012.4304,514089.5786,-1347415.327,1086.93211
13116.96316,514083.4278,-1347310.975,1086.540306
13221.49591,514077.277,-1347206.624,1086.148611
13326.02867,514071.1262,-1347102.272,1087.159026
13430.56142,514064.9754,-1346997.92,1089.343325
13535.09418,514058.8245,-1346893.569,1090.435459
13639.62693,514052.6737,-1346789.217,1091.527623
13744.15969,514046.5229,-1346684.866,1093.553939
13848.69244,514040.3721,-1346580.514,1095.645144
13950.1683,514031.6106,-1346479.417,1097.736338
