Distance,E,N,Elev
0,507916.5005,-1352282.313,1860.957031
151.5577863,508067.9631,-1352287.682,1865.677734
302.9573808,508219.1626,-1352295.463,1924.935547
408.3018411,508324.3627,-1352289.948,1931.376953
513.6463014,508429.5627,-1352284.434,1932.626953
618.9907617,508534.7627,-1352278.919,1933.628906
724.335222,508639.9627,-1352273.405,1936.398438
862.0611162,508732.7197,-1352171.598,1943.552734
999.7870103,508825.4768,-1352069.792,1950.017578
1137.512904,508918.2338,-1351967.985,1955.808594
1243.343077,508899.4007,-1351863.844,1956.455078
1349.173249,508880.5676,-1351759.703,1959.890625
1455.003421,508861.7346,-1351655.562,1963.443359
1560.833594,508842.9015,-1351551.421,1966.892578
1666.663766,508824.0684,-1351447.281,1970.443359
1772.493938,508805.2354,-1351343.14,1973.591797
1878.324111,508786.4023,-1351238.999,1979.505859
2012.890225,508681.3821,-1351154.863,1987.107422
2147.456339,508576.3618,-1351070.728,1996.195313
2282.022453,508471.3416,-1350986.592,2007.3125
2416.588567,508366.3214,-1350902.456,2019.134766
2551.154681,508261.3011,-1350818.321,2042.6875
2685.720795,508156.2809,-1350734.185,2071.035156
2820.286909,508051.2606,-1350650.05,2058.248047
2954.853023,507946.2404,-1350565.914,2049.730469
3089.419137,507841.2202,-1350481.779,2046.023438
3223.985251,507736.1999,-1350397.643,2045.957031
3358.551365,507631.1797,-1350313.508,2048.058594
3493.117479,507526.1594,-1350229.372,2051.527344
3627.683593,507421.1392,-1350145.237,2056.443359
3762.249707,507316.119,-1350061.101,2061.898438
3896.815821,507211.0987,-1349976.966,2065.189453
4031.381935,507106.0785,-1349892.83,2067.390625
4136.12338,507001.5572,-1349886.043,2070.060547
4240.864824,506897.0359,-1349879.256,2077.996094
4345.606268,506792.5145,-1349872.469,2085.341797
4450.347713,506687.9932,-1349865.682,2094.931641
4555.089157,506583.4719,-1349858.895,2131.240234
