Distance,E,N,Elev
0,509267.7693,-1353797.108,1950.948534
128.5158163,509368.8228,-1353717.707,1937.760025
257.0316326,509469.8762,-1353638.306,1844.711717
405.1806343,509581.5937,-1353541.006,1728.939408
553.329636,509693.3112,-1353443.706,1704.854721
701.4786377,509805.0287,-1353346.406,1660.160074
849.6276395,509916.7462,-1353249.106,1678.995231
997.7766412,510028.4636,-1353151.805,1655.401633
1145.925643,510140.1811,-1353054.505,1658.53969
1294.074645,510251.8986,-1352957.205,1661.130052
1413.063921,510357.7773,-1352902.908,1673.390123
1532.053196,510463.6561,-1352848.611,1663.107911
1651.042472,510569.5348,-1352794.315,1652.572211
1770.031748,510675.4136,-1352740.018,1641.20853
1889.021024,510781.2923,-1352685.721,1630.374505
2008.0103,510887.171,-1352631.424,1619.196113
2126.999576,510993.0498,-1352577.127,1608.131587
2245.988852,511098.9285,-1352522.831,1596.836563
2364.978128,511204.8072,-1352468.534,1573.763047
2483.967403,511310.686,-1352414.237,1561.928289
2604.777808,511412.4924,-1352349.194,1549.311193
2725.588214,511514.2989,-1352284.151,1536.180077
2846.398619,511616.1054,-1352219.108,1523.868174
2967.209024,511717.9119,-1352154.065,1508.643111
3088.019429,511819.7184,-1352089.022,1492.537694
3208.829834,511921.5248,-1352023.979,1478.750505
3352.943657,512027.7853,-1351926.626,1462.001234
3497.057481,512134.0458,-1351829.274,1444.822952
3641.171305,512240.3064,-1351731.922,1427.518796
3785.285128,512346.5669,-1351634.569,1411.642291
3887.868923,512359.1715,-1351532.763,1409.731043
3990.452717,512371.7761,-1351430.956,1407.819796
4093.036511,512384.3807,-1351329.15,1405.908402
4195.620306,512396.9853,-1351227.343,1404.043223
4298.2041,512409.5899,-1351125.537,1389.80056
4400.787895,512422.1945,-1351023.73,1389.517206
4503.371689,512434.7991,-1350921.924,1389.233851
4612.107154,512429.2461,-1350813.33,1388.950498
4720.842618,512423.693,-1350704.737,1388.641662
4829.578083,512418.1399,-1350596.143,1384.279313
4938.313547,512412.5868,-1350487.55,1382.099626
5047.049011,512407.0337,-1350378.956,1379.919932
5155.784476,512401.4807,-1350270.362,1393.449235
5264.51994,512395.9276,-1350161.769,1389.197764
5373.255405,512390.3745,-1350053.175,1384.951117
5481.990869,512384.8214,-1349944.582,1380.704454
5590.726333,512379.2683,-1349835.988,1376.457652
5699.461798,512373.7153,-1349727.394,1372.206961
5814.658674,512331.6352,-1349620.158,1369.79887
5929.85555,512289.5552,-1349512.922,1383.700171
6045.052426,512247.4752,-1349405.686,1381.234791
6160.249302,512205.3952,-1349298.45,1376.304417
6275.446178,512163.3152,-1349191.214,1389.77684
6419.050625,512055.4758,-1349096.383,1403.172708
6562.655073,511947.6363,-1349001.552,1419.226913
6706.25952,511839.7968,-1348906.721,1432.486615
6849.863967,511731.9574,-1348811.89,1445.655474
6993.468414,511624.1179,-1348717.059,1457.988439
7137.072861,511516.2785,-1348622.229,1469.35738
7280.677308,511408.439,-1348527.398,1480.674404
7424.281756,511300.5996,-1348432.567,1506.045572
7567.886203,511192.7601,-1348337.736,1516.772345
7676.370278,511089.3668,-1348304.894,1529.748523
7784.854352,510985.9735,-1348272.051,1539.864754
7893.338427,510882.5802,-1348239.209,1552.863618
8001.822502,510779.1869,-1348206.367,1565.862259
8110.306577,510675.7936,-1348173.524,1576.843936
8218.790652,510572.4003,-1348140.682,1589.621239
8327.274727,510469.007,-1348107.84,1602.398542
8435.758801,510365.6137,-1348074.997,1612.490678
8544.242876,510262.2204,-1348042.155,1625.035962
8652.726951,510158.8271,-1348009.313,1637.087732
8761.211026,510055.4338,-1347976.47,1644.973922
8869.695101,509952.0405,-1347943.628,1655.994191
8978.179175,509848.6472,-1347910.786,1667.014453
