Distance,E,N,Elev
0,509272.0113,-1353813.228,1943.365234
142.8706939,509383.9188,-1353724.409,1945.099609
285.7413879,509495.8263,-1353635.59,1940.755859
430.8558634,509603.8366,-1353538.678,1942.1875
575.9703389,509711.8469,-1353441.766,1944.943359
721.0848144,509819.8573,-1353344.854,1947.429688
866.1992899,509927.8676,-1353247.942,1949.986328
1011.313765,510035.8779,-1353151.029,1952.6875
1156.428241,510143.8883,-1353054.117,1955.193359
1301.542716,510251.8986,-1352957.205,1957.419922
1420.531992,510357.7773,-1352902.908,1958.402344
1539.521268,510463.6561,-1352848.611,1960.476563
1658.510544,510569.5348,-1352794.315,1962.169922
1777.49982,510675.4136,-1352740.018,1963.027344
1896.489096,510781.2923,-1352685.721,1964.716797
2015.478372,510887.171,-1352631.424,1965.488281
2134.467647,510993.0498,-1352577.127,1966.900391
2253.456923,511098.9285,-1352522.831,1967.601563
2372.446199,511204.8072,-1352468.534,1968.162109
2491.435475,511310.686,-1352414.237,1968.408203
2612.24588,511412.4924,-1352349.194,1967.59375
2733.056285,511514.2989,-1352284.151,1966.474609
2853.86669,511616.1054,-1352219.108,1966.166016
2974.677095,511717.9119,-1352154.065,1965.039063
3095.4875,511819.7184,-1352089.022,1964.40625
3216.297906,511921.5248,-1352023.979,1963.898438
3360.411729,512027.7853,-1351926.626,1963.222656
3504.525553,512134.0458,-1351829.274,1963.017578
3648.639376,512240.3064,-1351731.922,1964.158203
3792.7532,512346.5669,-1351634.569,1966.980469
3895.336994,512359.1715,-1351532.763,1969.802734
3997.920789,512371.7761,-1351430.956,1973.201172
4100.504583,512384.3807,-1351329.15,1977.371094
4203.088378,512396.9853,-1351227.343,1981.667969
4305.672172,512409.5899,-1351125.537,1985.507813
4408.255967,512422.1945,-1351023.73,1987.648438
4510.839761,512434.7991,-1350921.924,1989.039063
4619.575225,512429.2461,-1350813.33,1990.017578
4728.31069,512423.693,-1350704.737,1991.201172
4837.046154,512418.1399,-1350596.143,1993.220703
4945.781619,512412.5868,-1350487.55,1994.277344
5054.517083,512407.0337,-1350378.956,1995.425781
5163.252547,512401.4807,-1350270.362,1996.324219
5271.988012,512395.9276,-1350161.769,1996.892578
5380.723476,512390.3745,-1350053.175,1998.009766
5489.458941,512384.8214,-1349944.582,1999.117188
5598.194405,512379.2683,-1349835.988,2000.271484
5706.92987,512373.7153,-1349727.394,2001.451172
5822.126746,512331.6352,-1349620.158,2002.828125
5937.323622,512289.5552,-1349512.922,2004.275391
6052.520498,512247.4752,-1349405.686,2005.251953
6167.717374,512205.3952,-1349298.45,2006.896484
6282.91425,512163.3152,-1349191.214,2007.929688
6426.518697,512055.4758,-1349096.383,2008.867188
6570.123144,511947.6363,-1349001.552,2009.068359
6713.727591,511839.7968,-1348906.721,2009.515625
6857.332039,511731.9574,-1348811.89,2010.003906
7000.936486,511624.1179,-1348717.059,2010.082031
7144.540933,511516.2785,-1348622.229,2009.931641
7288.14538,511408.439,-1348527.398,2009.755859
7431.749827,511300.5996,-1348432.567,2009.388672
7575.354274,511192.7601,-1348337.736,2008.642578
7683.838349,511089.3668,-1348304.894,2008.453125
7792.322424,510985.9735,-1348272.051,2007.939453
7900.806499,510882.5802,-1348239.209,2007.988281
8009.290574,510779.1869,-1348206.367,2008.072266
