Distance,E,N,Elev
0,508000,-1354000,1910.349609
125,508000,-1354125,1912.316406
250,508000,-1354250,1912.535156
375,508000,-1354375,1911.925781
500,508000,-1354500,1910.734375
641.4213562,508100,-1354600,1911.681641
782.8427125,508200,-1354700,1907.884766
924.2640687,508300,-1354800,1903.441406
1065.685425,508400,-1354900,1898.394531
1207.106781,508500,-1355000,1893.869141
1332.106781,508625,-1355000,1888.75
1457.106781,508750,-1355000,1878.271484
1582.106781,508875,-1355000,1867.667969
1707.106781,509000,-1355000,1861.625
1811.990919,509104.404,-1354989.976,1863.347656
1916.875057,509208.808,-1354979.952,1867.326172
2021.759194,509313.2121,-1354969.928,1872.035156
2126.643332,509417.6161,-1354959.903,1876.560547
2231.52747,509522.0201,-1354949.879,1881.568359
2336.411607,509626.4241,-1354939.855,1885.580078
2441.295745,509730.8281,-1354929.831,1889.431641
2546.179883,509835.2321,-1354919.807,1892.798828
2651.06402,509939.6362,-1354909.783,1897.294922
2755.948158,510044.0402,-1354899.758,1910.185547
2860.832296,510148.4442,-1354889.734,1919.630859
2965.716434,510252.8482,-1354879.71,1928.625
3070.600571,510357.2522,-1354869.686,1934.537109
3155.929797,510423.7622,-1354816.23,1937.882813
3298.46655,510536.7405,-1354729.325,1942.404297
3441.003303,510649.7188,-1354642.419,1943.75
3583.540057,510762.6971,-1354555.513,1945.304688
3726.07681,510875.6754,-1354468.607,1946.279297
3864.745332,510964.8772,-1354362.437,1946.587891
4003.413855,511054.0791,-1354256.268,1946.626953
4142.082377,511143.281,-1354150.098,1947.222656
4280.750899,511232.4828,-1354043.928,1948.201172
4419.419422,511321.6847,-1353937.759,1949.935547
4558.087944,511410.8866,-1353831.589,1951.634766
4696.756466,511500.0884,-1353725.42,1954.412109
4837.56945,511597.3702,-1353623.613,1956.261719
4978.382434,511694.6519,-1353521.807,1959.515625
5119.195418,511791.9337,-1353420,1962.919922
5260.008402,511889.2154,-1353318.194,1965.966797
5400.821385,511986.4972,-1353216.387,1968.113281
5541.634369,512083.7789,-1353114.581,1969.296875
5682.447353,512181.0606,-1353012.774,1969.519531
5823.260337,512278.3424,-1352910.968,1969.279297
5964.073321,512375.6241,-1352809.161,1968.890625
6091.8031,512475.9762,-1352730.14,1968.773438
6219.532879,512576.3283,-1352651.119,1968.382813
6347.262658,512676.6804,-1352572.098,1967.904297
6474.992437,512777.0325,-1352493.076,1967.443359
6602.722216,512877.3846,-1352414.055,1967.984375
6730.451995,512977.7367,-1352335.034,1968.113281
6858.181774,513078.0888,-1352256.013,1969.242188
6973.412634,513105.2372,-1352144.026,1970.962891
7088.643495,513132.3856,-1352032.039,1971.675781
7203.874356,513159.534,-1351920.051,1972.988281
7319.105216,513186.6824,-1351808.064,1974.634766
7434.336077,513213.8308,-1351696.077,1980.308594
7548.288156,513216.2548,-1351582.151,1982.644531
7662.240235,513218.6787,-1351468.225,1984.712891
7776.192314,513221.1027,-1351354.298,1986.720703
7890.144393,513223.5266,-1351240.372,1988.509766
8004.096472,513225.9506,-1351126.446,1990.035156
8118.048551,513228.3746,-1351012.519,1991.523438
8232.00063,513230.7985,-1350898.593,1993.439453
8334.582194,513228.7247,-1350796.033,1994.34375
8437.163757,513226.6509,-1350693.472,1995.130859
8539.745321,513224.577,-1350590.911,1995.849609
8642.326884,513222.5032,-1350488.351,1996.382813
8744.908448,513220.4294,-1350385.79,1996.9375
8847.490011,513218.3555,-1350283.23,1997.615234
8950.071575,513216.2817,-1350180.669,1998.214844
9052.653138,513214.2078,-1350078.108,1998.927734
9155.234702,513212.134,-1349975.548,1999.474609
9257.816265,513210.0602,-1349872.987,2000.191406
9360.397829,513207.9863,-1349770.427,2000.847656
9462.979392,513205.9125,-1349667.866,2001.550781
9565.560956,513203.8387,-1349565.305,2002.382813
9668.142519,513201.7648,-1349462.745,2002.892578
9770.724083,513199.691,-1349360.184,2003.652344
9873.305646,513197.6172,-1349257.624,2004.234375
9975.88721,513195.5433,-1349155.063,2004.853516
10078.46877,513193.4695,-1349052.502,2005.236328
10180.82932,513177.7425,-1348951.357,2005.5625
10283.18986,513162.0155,-1348850.212,2005.785156
10385.5504,513146.2885,-1348749.067,2006.048828
10487.91095,513130.5615,-1348647.922,2006.279297
10590.27149,513114.8345,-1348546.777,2006.525391
10692.63203,513099.1075,-1348445.631,2007.005859
10794.99258,513083.3805,-1348344.486,2007.007813
10897.35312,513067.6535,-1348243.341,2007.136719
10999.71366,513051.9265,-1348142.196,2007.337891
11102.07421,513036.1995,-1348041.051,2007.623047
11204.43475,513020.4725,-1347939.906,2008.078125
11306.79529,513004.7455,-1347838.761,2008.441406
11409.15584,512989.0185,-1347737.615,2008.916016
11511.51638,512973.2915,-1347636.47,2009.626953
11613.87692,512957.5645,-1347535.325,2010.189453
11716.23747,512941.8375,-1347434.18,2010.958984
11818.59801,512926.1104,-1347333.035,2011.792969
11920.95855,512910.3834,-1347231.89,2012.771484
12023.31909,512894.6564,-1347130.744,2013.939453
12126.67698,512874.6786,-1347029.336,2014.597656
12230.03487,512854.7007,-1346927.927,2015.664063
12333.39276,512834.7228,-1346826.518,2016.6875
12436.75065,512814.745,-1346725.109,2017.705078
12540.10854,512794.7671,-1346623.701,2019.181641
12643.46643,512774.7892,-1346522.292,2020.207031
12746.82432,512754.8114,-1346420.883,2021.279297
12850.18221,512734.8335,-1346319.474,2022.146484
12953.5401,512714.8556,-1346218.066,2023.154297
13056.89799,512694.8778,-1346116.657,2024.578125
13160.25588,512674.8999,-1346015.248,2025.263672
13263.61377,512654.922,-1345913.839,2025.664063
13366.97165,512634.9442,-1345812.43,2025.970703
13470.32954,512614.9663,-1345711.022,2026.275391
13573.68743,512594.9884,-1345609.613,2027.242188
13677.04532,512575.0106,-1345508.204,2027.140625
13780.40321,512555.0327,-1345406.795,2026.923828
13883.7611,512535.0548,-1345305.387,2026.640625
13987.11899,512515.077,-1345203.978,2026.617188
14090.47688,512495.0991,-1345102.569,2026.494141
14193.83477,512475.1212,-1345001.16,2026.126953
14297.19266,512455.1433,-1344899.752,2025.75
14400.55055,512435.1655,-1344798.343,2025.732422
14503.90844,512415.1876,-1344696.934,2025.771484
14607.26633,512395.2097,-1344595.525,2025.626953
14710.62421,512375.2319,-1344494.117,2025.912109
14813.9821,512355.254,-1344392.708,2026.353516
14917.33999,512335.2761,-1344291.299,2027.167969
15020.69788,512315.2983,-1344189.89,2028.205078
15124.05577,512295.3204,-1344088.481,2029.513672
15227.41366,512275.3425,-1343987.073,2031.044922
15330.77155,512255.3647,-1343885.664,2032.664063
15434.12944,512235.3868,-1343784.255,2034.361328
15537.48733,512215.4089,-1343682.846,2036.15625
15640.84522,512195.4311,-1343581.438,2039.566406
15744.20311,512175.4532,-1343480.029,2041.125
15847.561,512155.4753,-1343378.62,2042.753906
15950.91889,512135.4975,-1343277.211,2044.333984
16054.27677,512115.5196,-1343175.803,2045.625
16157.63466,512095.5417,-1343074.394,2047.789063
16260.99255,512075.5639,-1342972.985,2048.898438
16364.35044,512055.586,-1342871.576,2049.751953
16467.70833,512035.6081,-1342770.167,2050.619141
16571.06622,512015.6303,-1342668.759,2051.373047
16674.42411,511995.6524,-1342567.35,2051.986328
16777.782,511975.6745,-1342465.941,2052.470703
16881.13989,511955.6967,-1342364.532,2052.822266
16984.49778,511935.7188,-1342263.124,2053.259766
17087.85567,511915.7409,-1342161.715,2053.863281
17191.21356,511895.763,-1342060.306,2054.441406
17294.57145,511875.7852,-1341958.897,2055.171875
17397.92933,511855.8073,-1341857.489,2056.001953
17501.28722,511835.8294,-1341756.08,2056.804688
17604.64511,511815.8516,-1341654.671,2057.558594
17708.003,511795.8737,-1341553.262,2058.892578
17811.36089,511775.8958,-1341451.853,2059.726563
17914.71878,511755.918,-1341350.445,2060.359375
18018.07667,511735.9401,-1341249.036,2061.015625
18148.84097,511651.9094,-1341148.845,2062.152344
18279.60527,511567.8786,-1341048.655,2062.962891
18410.36957,511483.8479,-1340948.464,2063.806641
18541.13387,511399.8171,-1340848.274,2064.523438
18671.89817,511315.7864,-1340748.083,2064.503906
18802.66247,511231.7556,-1340647.893,2065.15625
18933.42677,511147.7249,-1340547.702,2066.119141
19064.19107,511063.6942,-1340447.512,2067.324219
19194.95537,510979.6634,-1340347.321,2069.119141
19325.71967,510895.6327,-1340247.131,2070.8125
19456.48397,510811.6019,-1340146.94,2071.833984
19587.24827,510727.5712,-1340046.75,2074.132813
19718.01257,510643.5405,-1339946.559,2076.361328
19848.77687,510559.5097,-1339846.369,2078.537109
19979.54117,510475.479,-1339746.178,2080.779297
20110.30547,510391.4482,-1339645.988,2082.767578
20241.06977,510307.4175,-1339545.797,2083.482422
20371.83407,510223.3867,-1339445.607,2085.310547
20502.59837,510139.356,-1339345.416,2086.757813
20633.36267,510055.3253,-1339245.226,2088.076172
20764.12697,509971.2945,-1339145.035,2089.148438
20868.86646,509868.1306,-1339126.937,2089.933594
20973.60595,509764.9667,-1339108.838,2090.572266
21078.34544,509661.8028,-1339090.739,2091.458984
21183.08493,509558.6389,-1339072.64,2092.398438
21287.82442,509455.475,-1339054.541,2093.320313
21392.56391,509352.3111,-1339036.442,2094.376953
21497.30339,509249.1472,-1339018.343,2095.339844
21602.04288,509145.9833,-1339000.244,2096.273438
21706.78237,509042.8194,-1338982.145,2097.791016
21811.52186,508939.6555,-1338964.046,2098.833984
21916.26135,508836.4917,-1338945.947,2100.142578
22021.00084,508733.3278,-1338927.848,2101.626953
22125.74033,508630.1639,-1338909.749,2103.363281
22230.47982,508527,-1338891.65,2104.953125
22335.21931,508423.8361,-1338873.552,2106.251953
22446.33028,508322.1335,-1338918.298,2107.441406
22557.44125,508220.4309,-1338963.044,2108.265625
22668.55222,508118.7283,-1339007.79,2108.828125
22779.66319,508017.0258,-1339052.537,2109.365234
22890.77415,507915.3232,-1339097.283,2110.107422
23001.88512,507813.6206,-1339142.029,2110.753906
23112.99609,507711.918,-1339186.776,2111.431641
23224.10706,507610.2155,-1339231.522,2112.330078
23335.21803,507508.5129,-1339276.268,2112.919922
23446.32899,507406.8103,-1339321.015,2113.607422
23557.43996,507305.1077,-1339365.761,2113.984375
23668.55093,507203.4052,-1339410.507,2114.566406
23779.6619,507101.7026,-1339455.254,2114.865234
23890.77287,507000,-1339500,2115.082031
