Distance,E,N,Elev
0,509267.7693,-1353797.108,1952.945313
128.5158163,509368.8228,-1353717.707,1945.099609
257.0316326,509469.8762,-1353638.306,1940.755859
405.1806343,509581.5937,-1353541.006,1942.490234
553.329636,509693.3112,-1353443.706,1944.689453
701.4786377,509805.0287,-1353346.406,1947.429688
849.6276395,509916.7462,-1353249.106,1949.986328
997.7766412,510028.4636,-1353151.805,1952.6875
1145.925643,510140.1811,-1353054.505,1955.193359
1294.074645,510251.8986,-1352957.205,1957.419922
1413.063921,510357.7773,-1352902.908,1958.402344
1532.053196,510463.6561,-1352848.611,1960.476563
1651.042472,510569.5348,-1352794.315,1962.169922
1770.031748,510675.4136,-1352740.018,1963.027344
1889.021024,510781.2923,-1352685.721,1964.716797
2008.0103,510887.171,-1352631.424,1965.488281
2126.999576,510993.0498,-1352577.127,1966.900391
2245.988852,511098.9285,-1352522.831,1967.601563
2364.978128,511204.8072,-1352468.534,1968.162109
2483.967403,511310.686,-1352414.237,1968.408203
2604.777808,511412.4924,-1352349.194,1967.59375
2725.588214,511514.2989,-1352284.151,1966.474609
2846.398619,511616.1054,-1352219.108,1966.166016
2967.209024,511717.9119,-1352154.065,1965.039063
3088.019429,511819.7184,-1352089.022,1964.40625
3208.829834,511921.5248,-1352023.979,1963.898438
3352.943657,512027.7853,-1351926.626,1963.222656
3497.057481,512134.0458,-1351829.274,1963.017578
3641.171305,512240.3064,-1351731.922,1964.158203
3785.285128,512346.5669,-1351634.569,1966.980469
3887.868923,512359.1715,-1351532.763,1969.802734
3990.452717,512371.7761,-1351430.956,1973.201172
4093.036511,512384.3807,-1351329.15,1977.371094
4195.620306,512396.9853,-1351227.343,1981.667969
4298.2041,512409.5899,-1351125.537,1985.507813
4400.787895,512422.1945,-1351023.73,1987.648438
4503.371689,512434.7991,-1350921.924,1989.039063
4612.107154,512429.2461,-1350813.33,1990.017578
4720.842618,512423.693,-1350704.737,1991.201172
4829.578083,512418.1399,-1350596.143,1993.220703
4938.313547,512412.5868,-1350487.55,1994.277344
5047.049011,512407.0337,-1350378.956,1995.425781
5155.784476,512401.4807,-1350270.362,1996.324219
5264.51994,512395.9276,-1350161.769,1996.892578
5373.255405,512390.3745,-1350053.175,1998.009766
5481.990869,512384.8214,-1349944.582,1999.117188
5590.726333,512379.2683,-1349835.988,2000.271484
5699.461798,512373.7153,-1349727.394,2001.451172
5814.658674,512331.6352,-1349620.158,2002.828125
5929.85555,512289.5552,-1349512.922,2004.275391
6045.052426,512247.4752,-1349405.686,2005.251953
6160.249302,512205.3952,-1349298.45,2006.896484
6275.446178,512163.3152,-1349191.214,2007.929688
6419.050625,512055.4758,-1349096.383,2008.867188
