Distance,E,N,Elev
0,512500,-1359500,1822.316406
101.5149426,512507.731,-1359398.78,1822.964844
203.0298853,512515.462,-1359297.56,1823.728516
304.5448279,512523.193,-1359196.34,1824.976563
406.0597705,512530.9241,-1359095.119,1826.546875
507.5747132,512538.6551,-1358993.899,1828.287109
609.0896558,512546.3861,-1358892.679,1829.888672
710.6045984,512554.1171,-1358791.459,1831.4375
812.1195411,512561.8481,-1358690.239,1833.111328
913.6344837,512569.5791,-1358589.019,1834.859375
1015.149426,512577.3101,-1358487.799,1836.962891
1116.664369,512585.0412,-1358386.579,1839.478516
1218.179312,512592.7722,-1358285.358,1842.072266
1319.694254,512600.5032,-1358184.138,1844.615234
1421.209197,512608.2342,-1358082.918,1851.136719
1522.724139,512615.9652,-1357981.698,1860.726563
1624.239082,512623.6962,-1357880.478,1872.302734
1725.754025,512631.4272,-1357779.258,1878.378906
1827.268967,512639.1583,-1357678.038,1879.640625
1928.78391,512646.8893,-1357576.818,1881.462891
2030.298853,512654.6203,-1357475.597,1884.84375
2180.49427,512760.691,-1357369.26,1894.943359
2330.689687,512866.7618,-1357262.922,1904.447266
2480.885105,512972.8326,-1357156.585,1912.927734
2631.080522,513078.9034,-1357050.248,1920.417969
2781.275939,513184.9741,-1356943.91,1925.982422
2931.471357,513291.0449,-1356837.573,1929.703125
3081.666774,513397.1157,-1356731.235,1933.347656
3231.862192,513503.1864,-1356624.898,1936.960938
3382.057609,513609.2572,-1356518.56,1939.306641
3532.253026,513715.328,-1356412.223,1941.466797
3682.448444,513821.3988,-1356305.885,1944.005859
3832.643861,513927.4695,-1356199.548,1945.162109
3982.839278,514033.5403,-1356093.21,1945.744141
4133.034696,514139.6111,-1355986.873,1946.248047
4283.230113,514245.6818,-1355880.536,1947.181641
4399.044025,514300.5442,-1355778.541,1948.023438
4514.857936,514355.4066,-1355676.545,1948.197266
4630.671848,514410.269,-1355574.55,1949.837891
4746.485759,514465.1314,-1355472.555,1949.916016
4862.29967,514519.9937,-1355370.56,1951.169922
4978.113582,514574.8561,-1355268.565,1951.126953
5093.927493,514629.7185,-1355166.57,1952.042969
5209.741405,514684.5809,-1355064.575,1951.732422
5325.555316,514739.4433,-1354962.58,1953.1875
5430.860687,514762.5811,-1354859.848,1953.611328
5536.166059,514785.7189,-1354757.116,1954.367188
5641.47143,514808.8568,-1354654.384,1956.773438
5746.776801,514831.9946,-1354551.652,1958.371094
5852.082172,514855.1324,-1354448.92,1960.166016
5957.387543,514878.2703,-1354346.189,1962.017578
6062.692914,514901.4081,-1354243.457,1965.753906
6167.998285,514924.5459,-1354140.725,1967.957031
6273.303656,514947.6838,-1354037.993,1970.443359
6378.609028,514970.8216,-1353935.261,1972.826172
6483.914399,514993.9594,-1353832.529,1975.126953
6585.04729,514994.9775,-1353731.401,1977.292969
6686.180181,514995.9956,-1353630.273,1979.25
6787.313072,514997.0136,-1353529.145,1980.947266
6888.445963,514998.0317,-1353428.017,1982.625
6989.578854,514999.0498,-1353326.89,1984.201172
7090.711745,515000.0678,-1353225.762,1985.058594
7191.844636,515001.0859,-1353124.634,1985.650391
7292.977527,515002.104,-1353023.506,1986.056641
7394.110418,515003.122,-1352922.379,1986.236328
7495.243309,515004.1401,-1352821.251,1986.441406
7598.212429,515001.5949,-1352718.313,1986.730469
7701.181548,514999.0498,-1352615.376,1986.720703
7804.150668,514996.5046,-1352512.438,1986.769531
7907.119788,514993.9594,-1352409.5,1986.806641
8010.088907,514991.4143,-1352306.563,1987.046875
8113.058027,514988.8691,-1352203.625,1987.150391
8216.027147,514986.324,-1352100.687,1987.453125
